pair_type,left_id,left_name,right_id,right_name,cpu_socket,cpu_power_w,cooler_supported_sockets,cooler_capacity_w,cooler_type,compatible
cpu_cooler,26,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품),95,잘만 ALPHA II SE A36 (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,26,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품),96,DEEPCOOL LT360 VISION ARGB (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,300,LIQUID,yes
cpu_cooler,26,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품),97,darkFlash WAVE DV360S MAX ARGB 디스플레이 (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,320,LIQUID,yes
cpu_cooler,26,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품),98,MSI MAG 코어리퀴드 I360 (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,280,LIQUID,yes
cpu_cooler,26,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품),99,darkFlash NEBULA DN-360D ARGB (화이트),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700,310,LIQUID,no
cpu_cooler,26,인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시) (정품),100,TCOMAS CUBE 360 ARGB (화이트),LGA1851,250,AM4|AM5|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,27,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품),95,잘만 ALPHA II SE A36 (블랙),LGA1851,159,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,27,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품),96,DEEPCOOL LT360 VISION ARGB (블랙),LGA1851,159,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,300,LIQUID,yes
cpu_cooler,27,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품),97,darkFlash WAVE DV360S MAX ARGB 디스플레이 (블랙),LGA1851,159,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,320,LIQUID,yes
cpu_cooler,27,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품),98,MSI MAG 코어리퀴드 I360 (블랙),LGA1851,159,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,280,LIQUID,yes
cpu_cooler,27,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품),99,darkFlash NEBULA DN-360D ARGB (화이트),LGA1851,159,AM4|AM5|LGA115X|LGA1200|LGA1700,310,LIQUID,no
cpu_cooler,27,인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시) (정품),100,TCOMAS CUBE 360 ARGB (화이트),LGA1851,159,AM4|AM5|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),95,잘만 ALPHA II SE A36 (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,350,LIQUID,yes
cpu_cooler,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),96,DEEPCOOL LT360 VISION ARGB (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,300,LIQUID,yes
cpu_cooler,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),97,darkFlash WAVE DV360S MAX ARGB 디스플레이 (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,320,LIQUID,yes
cpu_cooler,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),98,MSI MAG 코어리퀴드 I360 (블랙),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700|LGA1851,280,LIQUID,yes
cpu_cooler,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),99,darkFlash NEBULA DN-360D ARGB (화이트),LGA1851,250,AM4|AM5|LGA115X|LGA1200|LGA1700,310,LIQUID,no
cpu_cooler,28,인텔 코어 울트라9 시리즈2 285K (애로우레이크) (정품),100,TCOMAS CUBE 360 ARGB (화이트),LGA1851,250,AM4|AM5|LGA1700|LGA1851,350,LIQUID,yes
