pair_type,left_id,left_name,right_id,right_name,gpu_length_mm,case_max_gpu_length_mm,compatible
gpu_case,13,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,80,DAVEN D7 Mesh 세븐팬 (블랙),262.1,400.0,yes
gpu_case,13,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,81,darkFlash DS500 RGB (블랙),262.1,405.0,yes
gpu_case,13,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,82,잘만 N30 백사십 (블랙),262.1,430.0,yes
gpu_case,13,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,83,앱코 G31 오메가포스 세븐팬 (블랙),262.1,400.0,yes
gpu_case,13,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,84,3RSYS L600 Quiet (블랙),262.1,400.0,yes
gpu_case,13,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,85,오쓰 SOLID FULL MESH (블랙),262.1,400.0,yes
gpu_case,13,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),262.1,408.0,yes
gpu_case,13,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,87,Antec FLUX PRO MESH (블랙),262.1,455.0,yes
gpu_case,13,PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),262.1,380.0,yes
gpu_case,14,PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,80,DAVEN D7 Mesh 세븐팬 (블랙),331.9,400.0,yes
gpu_case,14,PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,81,darkFlash DS500 RGB (블랙),331.9,405.0,yes
gpu_case,14,PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,82,잘만 N30 백사십 (블랙),331.9,430.0,yes
gpu_case,14,PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,83,앱코 G31 오메가포스 세븐팬 (블랙),331.9,400.0,yes
gpu_case,14,PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,84,3RSYS L600 Quiet (블랙),331.9,400.0,yes
gpu_case,14,PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,85,오쓰 SOLID FULL MESH (블랙),331.9,400.0,yes
gpu_case,14,PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),331.9,408.0,yes
gpu_case,14,PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,87,Antec FLUX PRO MESH (블랙),331.9,455.0,yes
gpu_case,14,PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),331.9,380.0,yes
gpu_case,15,MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 8GB,80,DAVEN D7 Mesh 세븐팬 (블랙),227.0,400.0,yes
gpu_case,15,MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 8GB,81,darkFlash DS500 RGB (블랙),227.0,405.0,yes
gpu_case,15,MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 8GB,82,잘만 N30 백사십 (블랙),227.0,430.0,yes
gpu_case,15,MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 8GB,83,앱코 G31 오메가포스 세븐팬 (블랙),227.0,400.0,yes
