pair_type,left_id,left_name,right_id,right_name,board_form_factor,case_supports_e_atx,case_supports_atx,case_supports_m_atx,case_supports_m_itx,compatible
motherboard_case,44,MSI MAG B860M 박격포 WIFI,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,44,MSI MAG B860M 박격포 WIFI,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,44,MSI MAG B860M 박격포 WIFI,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,44,MSI MAG B860M 박격포 WIFI,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,44,MSI MAG B860M 박격포 WIFI,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,44,MSI MAG B860M 박격포 WIFI,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
motherboard_case,44,MSI MAG B860M 박격포 WIFI,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),M-ATX,1,1,1,1,yes
motherboard_case,44,MSI MAG B860M 박격포 WIFI,87,Antec FLUX PRO MESH (블랙),M-ATX,1,1,1,0,yes
motherboard_case,44,MSI MAG B860M 박격포 WIFI,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),M-ATX,0,1,1,0,yes
motherboard_case,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
motherboard_case,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),M-ATX,1,1,1,1,yes
motherboard_case,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,87,Antec FLUX PRO MESH (블랙),M-ATX,1,1,1,0,yes
motherboard_case,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),M-ATX,0,1,1,0,yes
motherboard_case,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
motherboard_case,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),M-ATX,1,1,1,1,yes
motherboard_case,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,87,Antec FLUX PRO MESH (블랙),M-ATX,1,1,1,0,yes
motherboard_case,46,GIGABYTE B860M AORUS ELITE WIFI6E ICE 피씨디렉트,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),M-ATX,0,1,1,0,yes
motherboard_case,47,ASUS PRIME B860M-A-CSM 코잇,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,47,ASUS PRIME B860M-A-CSM 코잇,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,47,ASUS PRIME B860M-A-CSM 코잇,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,47,ASUS PRIME B860M-A-CSM 코잇,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,47,ASUS PRIME B860M-A-CSM 코잇,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,47,ASUS PRIME B860M-A-CSM 코잇,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
motherboard_case,47,ASUS PRIME B860M-A-CSM 코잇,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),M-ATX,1,1,1,1,yes
motherboard_case,47,ASUS PRIME B860M-A-CSM 코잇,87,Antec FLUX PRO MESH (블랙),M-ATX,1,1,1,0,yes
motherboard_case,47,ASUS PRIME B860M-A-CSM 코잇,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),M-ATX,0,1,1,0,yes
motherboard_case,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,80,DAVEN D7 Mesh 세븐팬 (블랙),ATX,0,1,1,1,yes
motherboard_case,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,81,darkFlash DS500 RGB (블랙),ATX,0,1,1,1,yes
motherboard_case,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,82,잘만 N30 백사십 (블랙),ATX,0,1,1,1,yes
motherboard_case,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,83,앱코 G31 오메가포스 세븐팬 (블랙),ATX,0,1,1,1,yes
motherboard_case,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,84,3RSYS L600 Quiet (블랙),ATX,1,1,1,0,yes
motherboard_case,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,85,오쓰 SOLID FULL MESH (블랙),ATX,1,1,1,1,yes
motherboard_case,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),ATX,1,1,1,1,yes
motherboard_case,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,87,Antec FLUX PRO MESH (블랙),ATX,1,1,1,0,yes
motherboard_case,48,GIGABYTE Z890 AORUS ELITE WIFI7 제이씨현,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),ATX,0,1,1,0,yes
motherboard_case,49,GIGABYTE B860M DS3H 제이씨현,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,49,GIGABYTE B860M DS3H 제이씨현,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,49,GIGABYTE B860M DS3H 제이씨현,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,49,GIGABYTE B860M DS3H 제이씨현,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,49,GIGABYTE B860M DS3H 제이씨현,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,49,GIGABYTE B860M DS3H 제이씨현,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
motherboard_case,49,GIGABYTE B860M DS3H 제이씨현,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),M-ATX,1,1,1,1,yes
motherboard_case,49,GIGABYTE B860M DS3H 제이씨현,87,Antec FLUX PRO MESH (블랙),M-ATX,1,1,1,0,yes
motherboard_case,49,GIGABYTE B860M DS3H 제이씨현,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),M-ATX,0,1,1,0,yes
motherboard_case,50,MSI PRO B760M-A DDR4 II,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,50,MSI PRO B760M-A DDR4 II,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,50,MSI PRO B760M-A DDR4 II,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,50,MSI PRO B760M-A DDR4 II,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,50,MSI PRO B760M-A DDR4 II,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,50,MSI PRO B760M-A DDR4 II,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
motherboard_case,50,MSI PRO B760M-A DDR4 II,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),M-ATX,1,1,1,1,yes
motherboard_case,50,MSI PRO B760M-A DDR4 II,87,Antec FLUX PRO MESH (블랙),M-ATX,1,1,1,0,yes
motherboard_case,50,MSI PRO B760M-A DDR4 II,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),M-ATX,0,1,1,0,yes
motherboard_case,51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
motherboard_case,51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),M-ATX,1,1,1,1,yes
motherboard_case,51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,87,Antec FLUX PRO MESH (블랙),M-ATX,1,1,1,0,yes
motherboard_case,51,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),M-ATX,0,1,1,0,yes
motherboard_case,52,GIGABYTE B760M DS3H D4 제이씨현,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,52,GIGABYTE B760M DS3H D4 제이씨현,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,52,GIGABYTE B760M DS3H D4 제이씨현,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,52,GIGABYTE B760M DS3H D4 제이씨현,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,52,GIGABYTE B760M DS3H D4 제이씨현,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,52,GIGABYTE B760M DS3H D4 제이씨현,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
motherboard_case,52,GIGABYTE B760M DS3H D4 제이씨현,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),M-ATX,1,1,1,1,yes
motherboard_case,52,GIGABYTE B760M DS3H D4 제이씨현,87,Antec FLUX PRO MESH (블랙),M-ATX,1,1,1,0,yes
motherboard_case,52,GIGABYTE B760M DS3H D4 제이씨현,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),M-ATX,0,1,1,0,yes
motherboard_case,53,ASRock B760M Pro RS D5 에즈윈,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,53,ASRock B760M Pro RS D5 에즈윈,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,53,ASRock B760M Pro RS D5 에즈윈,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,53,ASRock B760M Pro RS D5 에즈윈,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,53,ASRock B760M Pro RS D5 에즈윈,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,53,ASRock B760M Pro RS D5 에즈윈,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
motherboard_case,53,ASRock B760M Pro RS D5 에즈윈,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),M-ATX,1,1,1,1,yes
motherboard_case,53,ASRock B760M Pro RS D5 에즈윈,87,Antec FLUX PRO MESH (블랙),M-ATX,1,1,1,0,yes
motherboard_case,53,ASRock B760M Pro RS D5 에즈윈,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),M-ATX,0,1,1,0,yes
motherboard_case,54,ASUS PRIME B760M-A D4 STCOM,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,54,ASUS PRIME B760M-A D4 STCOM,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,54,ASUS PRIME B760M-A D4 STCOM,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,54,ASUS PRIME B760M-A D4 STCOM,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,54,ASUS PRIME B760M-A D4 STCOM,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,54,ASUS PRIME B760M-A D4 STCOM,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
motherboard_case,54,ASUS PRIME B760M-A D4 STCOM,86,앱코 G50 빅플로우 MESH ARGB BTF (블랙),M-ATX,1,1,1,1,yes
motherboard_case,54,ASUS PRIME B760M-A D4 STCOM,87,Antec FLUX PRO MESH (블랙),M-ATX,1,1,1,0,yes
motherboard_case,54,ASUS PRIME B760M-A D4 STCOM,88,마이크로닉스 WIZMAX 릿지 PRO (블랙),M-ATX,0,1,1,0,yes
motherboard_case,55,ASUS PRIME H610M-A D4 STCOM,80,DAVEN D7 Mesh 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,55,ASUS PRIME H610M-A D4 STCOM,81,darkFlash DS500 RGB (블랙),M-ATX,0,1,1,1,yes
motherboard_case,55,ASUS PRIME H610M-A D4 STCOM,82,잘만 N30 백사십 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,55,ASUS PRIME H610M-A D4 STCOM,83,앱코 G31 오메가포스 세븐팬 (블랙),M-ATX,0,1,1,1,yes
motherboard_case,55,ASUS PRIME H610M-A D4 STCOM,84,3RSYS L600 Quiet (블랙),M-ATX,1,1,1,0,yes
motherboard_case,55,ASUS PRIME H610M-A D4 STCOM,85,오쓰 SOLID FULL MESH (블랙),M-ATX,1,1,1,1,yes
