pair_type,left_id,left_name,right_id,right_name,storage_type_corrected,storage_form_factor,storage_interface,board_m2_slots,board_sata_ports,compatible
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,56,삼성전자 9100 PRO M.2 NVMe (1TB),ssd,M.2 (2280),PCIE5.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,57,키오시아 EXCERIA PLUS G4 M.2 NVMe (1TB),ssd,M.2 (2280),PCIE5.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,58,Sandisk Optimus GX PRO 8100 M.2 NVMe (1TB),ssd,M.2 (2280),PCIE5.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,59,SK하이닉스 Platinum P51 M.2 NVMe (2TB),ssd,M.2 (2280),PCIE5.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,60,Western Digital WD BLACK SN8100 M.2 NVMe (2TB),ssd,M.2 (2280),PCIE5.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,61,키오시아 EXCERIA PRO G2 M.2 NVMe (2TB),ssd,M.2 (2280),PCIE5.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,62,ESSENCORE KLEVV CRAS C910G M.2 NVMe (1TB),ssd,M.2 (2280),PCIE4.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,63,삼성전자 990 PRO M.2 NVMe (2TB),ssd,M.2 (2280),PCIE4.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,64,ADATA LEGEND 900 M.2 NVMe 파인인포 (512GB),ssd,M.2 (2280),PCIE4.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,65,Western Digital WD BLACK SN850X M.2 NVMe (1TB),ssd,M.2 (2280),PCIE4.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,66,삼성전자 990 EVO Plus M.2 NVMe (1TB),ssd,M.2 (2280),PCIE4.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,67,삼성전자 PM9A1 M.2 NVMe 벌크 (512GB),ssd,M.2 (2280),PCIE4.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,68,SK하이닉스 Gold P31 M.2 NVMe (1TB),ssd,M.2 (2280),PCIE3.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,69,타무즈 M740Q M.2 NVMe 벌크 (512GB),ssd,M.2 (2280),PCIE3.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,70,삼성전자 PM981a M.2 NVMe 중고 (512GB),ssd,M.2 (2280),PCIE3.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,71,PATRIOT P300 M.2 NVMe (1TB),ssd,M.2 (2280),PCIE3.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,72,Apacer AS2280P4X M.2 NVMe (512GB),ssd,M.2 (2280),PCIE3.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,73,COLORFUL CN600 PRO M.2 NVMe 디앤디컴 (1TB),ssd,M.2 (2280),PCIE3.0X4,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,74,"Seagate BarraCuda 5400/256M (8TB, ST8000DM004)",hdd,,SATA3,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,75,"Western Digital WD Blue 5640/256M (8TB, WD80EAAZ)",hdd,,SATA3,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,76,"Seagate BarraCuda 7200/256M (2TB, ST2000DM008)",hdd,,SATA3,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,77,"Seagate BarraCuda 7200/512M (24TB, ST24000DM001)",hdd,,SATA3,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,78,"Western Digital WD Blue 7200/256M (2TB, WD20EZBX)",hdd,,SATA3,3,4,yes
motherboard_storage,44,MSI MAG B860M 박격포 WIFI,79,"도시바 DT01 7200/64M (2TB, DT01ACA200)",hdd,,SATA3,3,4,yes
motherboard_storage,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,56,삼성전자 9100 PRO M.2 NVMe (1TB),ssd,M.2 (2280),PCIE5.0X4,4,4,yes
motherboard_storage,45,ASUS ROG STRIX B860-G GAMING WIFI 코잇,57,키오시아 EXCERIA PLUS G4 M.2 NVMe (1TB),ssd,M.2 (2280),PCIE5.0X4,4,4,yes
